Profit,Age,Purchase History,Customer Segment,Property Value
75.75,48,98,Affluent Customer,6
693.76,48,98,Affluent Customer,6
35.13,48,98,Affluent Customer,6
357.74,48,98,Affluent Customer,6
41.13,28,51,Affluent Customer,4
830.24,28,51,Affluent Customer,4
110.81,28,51,Affluent Customer,4
1295.43,28,51,Affluent Customer,4
617.67,28,51,Affluent Customer,4
1103.43,28,51,Affluent Customer,4
448.68,28,51,Affluent Customer,4
1702.55,45,46,Mass Customer,9
709.34,45,46,Mass Customer,9
693.76,45,46,Mass Customer,9
512.33,45,46,Mass Customer,9
1544.61,45,46,Mass Customer,9
434.14,45,46,Mass Customer,9
43.97,45,46,Mass Customer,9
129.01,45,46,Mass Customer,9
1806.79,26,63,Affluent Customer,9
189.28,26,63,Affluent Customer,9
90.1,26,63,Affluent Customer,9
1544.61,26,63,Affluent Customer,9
812.44,26,63,Affluent Customer,9
1630.25,40,38,Mass Customer,10
43.97,40,38,Mass Customer,10
1617.3,40,38,Mass Customer,10
198.22,40,38,Mass Customer,10
64.93,40,38,Mass Customer,10
135.85,40,38,Mass Customer,10
1592.19,40,38,Mass Customer,10
709.34,40,38,Mass Customer,10
451.65,61,68,Mass Customer,5
921.46,61,68,Mass Customer,5
431.33,61,68,Mass Customer,5
135.85,61,68,Mass Customer,5
1010.02,61,68,Mass Customer,5
691.01,61,68,Mass Customer,5
1069.55,61,68,Mass Customer,5
445.21,61,68,Mass Customer,5
1134.8,32,57,Mass Customer,8
1544.61,32,57,Mass Customer,8
872.89,32,57,Mass Customer,8
827.16,32,57,Mass Customer,8
573.45,32,57,Mass Customer,8
357.74,32,57,Mass Customer,8
1028.76,32,57,Mass Customer,8
451.65,66,22,Mass Customer,3
802.26,66,22,Mass Customer,3
771.12,66,22,Mass Customer,3
834.94,66,22,Mass Customer,3
90.1,66,22,Mass Customer,3
217.51,54,2,Mass Customer,8
133.78,54,2,Mass Customer,8
209.84,54,2,Mass Customer,8
189.28,54,2,Mass Customer,8
143.36,54,2,Mass Customer,8
1592.19,54,2,Mass Customer,8
1806.79,54,2,Mass Customer,8
400.65,64,48,Affluent Customer,10
90.1,64,48,Affluent Customer,10
144.26,64,48,Affluent Customer,10
921.46,64,48,Affluent Customer,10
43.97,64,48,Affluent Customer,10
110.81,64,48,Affluent Customer,10
903.11,64,48,Affluent Customer,10
834.94,64,48,Affluent Customer,10
139.23,24,44,Mass Customer,10
14.23,24,44,Mass Customer,10
4.8,24,44,Mass Customer,10
110.56,24,44,Mass Customer,10
64.93,24,44,Mass Customer,10
139.23,24,44,Mass Customer,10
802.26,24,44,Mass Customer,10
509.97,32,87,Mass Customer,6
797.61,32,87,Mass Customer,6
1230.3,32,87,Mass Customer,6
64.93,32,87,Mass Customer,6
1806.79,32,87,Mass Customer,6
1010.02,32,87,Mass Customer,6
1069.55,53,26,Affluent Customer,9
198.22,53,26,Affluent Customer,9
802.26,53,26,Affluent Customer,9
72.6,53,26,Affluent Customer,9
834.94,53,26,Affluent Customer,9
374.09,53,26,Affluent Customer,9
133.38,53,26,Affluent Customer,9
91.15,53,26,Affluent Customer,9
25.02,20,60,High Net Worth,9
1305.25,20,60,High Net Worth,9
1305.25,20,60,High Net Worth,9
691.01,50,18,Mass Customer,10
72.6,50,18,Mass Customer,10
573.45,61,47,High Net Worth,7
797.61,61,47,High Net Worth,7
91.15,61,47,High Net Worth,7
583.27,61,47,High Net Worth,7
155.65,61,47,High Net Worth,7
1630.25,61,47,High Net Worth,7
1103.43,61,47,High Net Worth,7
14.23,41,38,Mass Customer,8
57.73,41,38,Mass Customer,8
1592.19,41,38,Mass Customer,8
14.23,41,38,Mass Customer,8
1630.25,41,38,Mass Customer,8
1806.79,41,38,Mass Customer,8
133.78,55,58,Mass Customer,9
908.77,55,58,Mass Customer,9
1305.25,55,58,Mass Customer,9
70.92,42,73,High Net Worth,8
357.74,42,73,High Net Worth,8
152.55,42,73,High Net Worth,8
64.93,42,73,High Net Worth,8
91.15,42,73,High Net Worth,8
830.24,44,21,Affluent Customer,10
64.51,44,21,Affluent Customer,10
641.64,44,21,Affluent Customer,10
451.65,44,21,Affluent Customer,10
1702.55,44,21,Affluent Customer,10
908.77,44,21,Affluent Customer,10
448.68,18,46,High Net Worth,10
1344.33,18,46,High Net Worth,10
1544.61,18,46,High Net Worth,10
531.96,18,46,High Net Worth,10
903.11,18,46,High Net Worth,10
25.02,60,67,Mass Customer,10
357.74,60,67,Mass Customer,10
908.77,60,67,Mass Customer,10
189.28,60,67,Mass Customer,10
57.73,60,67,Mass Customer,10
1702.55,46,37,Affluent Customer,7
531.96,46,37,Affluent Customer,7
1702.55,46,37,Affluent Customer,7
1069.55,51,16,Mass Customer,7
1630.25,51,16,Mass Customer,7
152.55,51,16,Mass Customer,7
1295.43,51,16,Mass Customer,7
91.15,51,16,Mass Customer,7
1055.82,51,16,Mass Customer,7
14.23,27,78,Affluent Customer,12
135.85,27,78,Affluent Customer,12
834.94,27,78,Affluent Customer,12
456.45,27,78,Affluent Customer,12
1295.43,27,78,Affluent Customer,12
155.65,35,30,Affluent Customer,10
1230.27,48,93,Affluent Customer,6
573.45,48,93,Affluent Customer,6
531.96,48,93,Affluent Customer,6
693.76,48,93,Affluent Customer,6
198.29,48,93,Affluent Customer,6
227.26,60,16,Affluent Customer,8
709.34,60,16,Affluent Customer,8
817.36,60,16,Affluent Customer,8
25.02,60,16,Affluent Customer,8
448.68,60,16,Affluent Customer,8
201.35,60,16,Affluent Customer,8
155.65,51,94,Mass Customer,8
745.94,51,94,Mass Customer,8
64.93,51,94,Mass Customer,8
75.75,42,28,Mass Customer,8
903.11,42,28,Mass Customer,8
1305.25,42,28,Mass Customer,8
456.45,42,28,Mass Customer,8
771.12,42,28,Mass Customer,8
547.28,42,28,Mass Customer,8
903.11,42,28,Mass Customer,8
25.02,42,28,Mass Customer,8
25.02,42,20,High Net Worth,9
1010.02,42,20,High Net Worth,9
110.81,42,20,High Net Worth,9
509.97,42,20,High Net Worth,9
201.35,42,20,High Net Worth,9
450.77,42,20,High Net Worth,9
509.97,42,20,High Net Worth,9
114.93,42,20,High Net Worth,9
1531.93,31,79,Mass Customer,5
198.22,31,79,Mass Customer,5
75.75,31,79,Mass Customer,5
41.13,35,37,Affluent Customer,9
41.13,35,37,Affluent Customer,9
155.65,52,76,Mass Customer,10
400.65,52,76,Mass Customer,10
431.33,52,76,Mass Customer,10
445.21,52,76,Mass Customer,10
921.46,52,76,Mass Customer,10
471.6,52,76,Mass Customer,10
834.94,42,11,Mass Customer,1
921.46,42,11,Mass Customer,1
4.8,42,11,Mass Customer,1
1295.43,42,11,Mass Customer,1
737.57,42,11,Mass Customer,1
199.1,42,11,Mass Customer,1
110.81,42,11,Mass Customer,1
1544.61,42,11,Mass Customer,1
75.75,42,11,Mass Customer,1
448.68,42,11,Mass Customer,1
903.11,34,58,High Net Worth,6
797.61,34,58,High Net Worth,6
1544.61,34,58,High Net Worth,6
110.81,34,58,High Net Worth,6
1230.27,55,93,High Net Worth,8
1103.43,55,93,High Net Worth,8
15.08,55,93,High Net Worth,8
144.26,55,93,High Net Worth,8
431.33,55,93,High Net Worth,8
135.85,53,97,Mass Customer,12
209.84,53,97,Mass Customer,12
91.15,53,97,Mass Customer,12
201.35,53,97,Mass Customer,12
471.6,53,97,Mass Customer,12
745.94,53,97,Mass Customer,12
145.94,62,78,Mass Customer,11
400.65,62,78,Mass Customer,11
209.84,62,78,Mass Customer,11
14.23,62,78,Mass Customer,11
451.65,62,78,Mass Customer,11
400.65,62,78,Mass Customer,11
802.26,62,78,Mass Customer,11
128.46,62,1,Mass Customer,11
15.08,62,1,Mass Customer,11
152.55,62,1,Mass Customer,11
43.97,62,1,Mass Customer,11
35.13,62,1,Mass Customer,11
198.22,62,1,Mass Customer,11
189.28,31,75,High Net Worth,11
57.73,31,75,High Net Worth,11
41.13,31,75,High Net Worth,11
182.81,31,75,High Net Worth,11
834.94,31,75,High Net Worth,11
834.94,31,75,High Net Worth,11
114.93,31,75,High Net Worth,11
90.1,31,75,High Net Worth,11
14.23,31,75,High Net Worth,11
827.16,46,78,Mass Customer,12
198.29,46,78,Mass Customer,12
431.33,46,78,Mass Customer,12
834.94,46,78,Mass Customer,12
110.81,46,78,Mass Customer,12
434.14,46,78,Mass Customer,12
152.55,46,78,Mass Customer,12
797.61,46,78,Mass Customer,12
167.21,46,78,Mass Customer,12
4.8,54,41,High Net Worth,12
14.23,54,41,High Net Worth,12
1544.61,54,41,High Net Worth,12
471.6,54,41,High Net Worth,12
309.81,54,41,High Net Worth,12
189.28,54,41,High Net Worth,12
155.65,53,74,Mass Customer,11
448.68,53,74,Mass Customer,11
1806.79,53,74,Mass Customer,11
357.74,53,74,Mass Customer,11
1305.25,53,74,Mass Customer,11
1230.3,53,74,Mass Customer,11
400.65,53,74,Mass Customer,11
155.65,53,74,Mass Customer,11
434.14,53,74,Mass Customer,11
57.73,36,76,Mass Customer,10
1134.8,36,76,Mass Customer,10
135.85,36,76,Mass Customer,10
531.96,36,76,Mass Customer,10
133.78,36,76,Mass Customer,10
456.45,36,76,Mass Customer,10
812.44,36,76,Mass Customer,10
617.67,65,69,Affluent Customer,9
745.94,65,69,Affluent Customer,9
1630.25,65,69,Affluent Customer,9
512.33,65,69,Affluent Customer,9
400.65,65,69,Affluent Customer,9
509.97,65,69,Affluent Customer,9
25.02,65,69,Affluent Customer,9
1069.55,65,69,Affluent Customer,9
195.34,40,98,Mass Customer,10
1069.55,40,98,Mass Customer,10
1702.55,40,98,Mass Customer,10
471.6,44,63,Mass Customer,10
1702.55,44,63,Mass Customer,10
802.26,44,63,Mass Customer,10
872.89,46,33,Mass Customer,7
1531.93,46,33,Mass Customer,7
152.55,46,33,Mass Customer,7
1630.25,46,33,Mass Customer,7
400.65,46,33,Mass Customer,7
448.68,46,33,Mass Customer,7
57.73,46,33,Mass Customer,7
448.68,60,67,Affluent Customer,10
128.46,60,67,Affluent Customer,10
1702.55,60,67,Affluent Customer,10
771.12,60,67,Affluent Customer,10
573.45,52,33,Mass Customer,11
400.65,52,33,Mass Customer,11
434.14,52,33,Mass Customer,11
450.77,52,33,Mass Customer,11
1592.19,41,16,Mass Customer,8
110.56,41,16,Mass Customer,8
133.38,41,16,Mass Customer,8
448.68,41,16,Mass Customer,8
64.93,41,16,Mass Customer,8
448.68,41,16,Mass Customer,8
1295.43,41,16,Mass Customer,8
817.36,41,16,Mass Customer,8
802.26,64,19,Mass Customer,10
309.81,64,19,Mass Customer,10
531.96,64,19,Mass Customer,10
198.22,64,19,Mass Customer,10
182.81,64,19,Mass Customer,10
451.65,22,97,Mass Customer,9
110.81,22,97,Mass Customer,9
1295.43,22,97,Mass Customer,9
1028.76,22,97,Mass Customer,9
309.81,22,97,Mass Customer,9
143.36,22,97,Mass Customer,9
400.65,22,97,Mass Customer,9
43.97,22,97,Mass Customer,9
817.36,22,97,Mass Customer,9
75.14,52,80,Mass Customer,12
802.26,52,80,Mass Customer,12
374.09,45,83,High Net Worth,10
1702.55,45,83,High Net Worth,10
4.8,45,83,High Net Worth,10
583.27,45,83,High Net Worth,10
128.46,64,51,Affluent Customer,9
1028.76,64,51,Affluent Customer,9
434.14,64,51,Affluent Customer,9
110.56,64,51,Affluent Customer,9
209.84,64,51,Affluent Customer,9
309.81,64,51,Affluent Customer,9
471.6,64,51,Affluent Customer,9
195.34,23,49,Affluent Customer,12
199.1,23,49,Affluent Customer,12
25.02,23,49,Affluent Customer,12
512.33,23,49,Affluent Customer,12
91.15,23,49,Affluent Customer,12
25.02,42,40,Mass Customer,10
531.96,42,40,Mass Customer,10
110.56,42,40,Mass Customer,10
75.75,42,40,Mass Customer,10
512.33,42,40,Mass Customer,10
133.78,42,40,Mass Customer,10
1295.43,42,40,Mass Customer,10
1069.55,42,40,Mass Customer,10
573.45,42,40,Mass Customer,10
583.27,19,25,Mass Customer,10
451.65,19,25,Mass Customer,10
1702.55,19,25,Mass Customer,10
737.57,19,25,Mass Customer,10
25.02,54,54,High Net Worth,9
834.94,54,54,High Net Worth,9
1660.88,54,54,High Net Worth,9
45.96,30,97,Mass Customer,12
91.15,30,97,Mass Customer,12
1103.43,30,97,Mass Customer,12
1103.43,30,97,Mass Customer,12
1806.79,26,4,High Net Worth,8
114.93,26,4,High Net Worth,8
830.24,26,4,High Net Worth,8
110.81,42,16,Affluent Customer,11
64.93,42,16,Affluent Customer,11
908.77,42,16,Affluent Customer,11
451.65,42,16,Affluent Customer,11
189.28,42,16,Affluent Customer,11
135.85,42,16,Affluent Customer,11
434.14,42,16,Affluent Customer,11
908.77,42,16,Affluent Customer,11
1630.25,42,16,Affluent Customer,11
25.02,42,16,Affluent Customer,11
75.75,20,23,Affluent Customer,8
155.65,20,23,Affluent Customer,8
802.26,20,23,Affluent Customer,8
509.97,20,23,Affluent Customer,8
872.89,20,23,Affluent Customer,8
90.1,20,23,Affluent Customer,8
114.93,20,23,Affluent Customer,8
908.77,27,65,Mass Customer,12
1134.8,27,65,Mass Customer,12
1344.33,27,65,Mass Customer,12
91.15,27,65,Mass Customer,12
1295.43,45,88,High Net Worth,11
1702.55,45,88,High Net Worth,11
374.09,45,88,High Net Worth,11
1544.61,45,88,High Net Worth,11
448.68,45,88,High Net Worth,11
451.65,45,88,High Net Worth,11
201.35,64,67,Mass Customer,4
1617.3,64,67,Mass Customer,4
201.35,64,67,Mass Customer,4
72.6,64,67,Mass Customer,4
431.33,64,67,Mass Customer,4
129.01,64,67,Mass Customer,4
70.92,35,10,Affluent Customer,9
1295.43,35,10,Affluent Customer,9
834.94,35,10,Affluent Customer,9
14.23,35,10,Affluent Customer,9
797.61,39,77,Mass Customer,1
431.33,39,77,Mass Customer,1
451.65,39,77,Mass Customer,1
144.26,39,77,Mass Customer,1
189.28,39,77,Mass Customer,1
75.48,39,77,Mass Customer,1
143.36,39,77,Mass Customer,1
1010.02,39,77,Mass Customer,1
114.93,21,49,Affluent Customer,8
133.78,21,49,Affluent Customer,8
431.33,21,49,Affluent Customer,8
143.36,21,49,Affluent Customer,8
35.13,21,49,Affluent Customer,8
43.97,21,49,Affluent Customer,8
1103.43,21,49,Affluent Customer,8
451.65,21,49,Affluent Customer,8
471.6,38,75,Mass Customer,6
908.77,38,75,Mass Customer,6
872.89,38,75,Mass Customer,6
374.09,38,75,Mass Customer,6
400.65,38,75,Mass Customer,6
129.01,38,75,Mass Customer,6
1531.93,38,75,Mass Customer,6
1103.43,38,75,Mass Customer,6
737.57,38,75,Mass Customer,6
812.44,38,75,Mass Customer,6
201.35,61,43,High Net Worth,10
531.96,61,43,High Net Worth,10
1702.55,61,43,High Net Worth,10
834.94,61,43,High Net Worth,10
431.33,61,43,High Net Worth,10
1344.33,39,9,High Net Worth,7
1592.19,39,9,High Net Worth,7
1230.27,39,9,High Net Worth,7
227.26,39,9,High Net Worth,7
531.96,42,80,High Net Worth,2
512.33,42,80,High Net Worth,2
459.46,42,80,High Net Worth,2
145.94,63,82,Mass Customer,9
834.94,63,82,Mass Customer,9
737.57,63,82,Mass Customer,9
1344.33,63,82,Mass Customer,9
908.77,41,87,Mass Customer,2
114.93,41,87,Mass Customer,2
1544.61,41,87,Mass Customer,2
129.01,41,87,Mass Customer,2
155.65,41,87,Mass Customer,2
1592.19,32,85,High Net Worth,8
908.77,32,85,High Net Worth,8
90.1,32,85,High Net Worth,8
812.44,32,85,High Net Worth,8
1134.8,25,27,High Net Worth,8
802.26,25,27,High Net Worth,8
72.6,25,27,High Net Worth,8
1806.79,25,27,High Net Worth,8
434.14,25,27,High Net Worth,8
167.21,25,27,High Net Worth,8
114.93,25,27,High Net Worth,8
547.28,60,94,Mass Customer,10
90.1,60,94,Mass Customer,10
459.46,60,94,Mass Customer,10
812.44,60,94,Mass Customer,10
25.02,60,94,Mass Customer,10
14.23,60,94,Mass Customer,10
41.13,60,94,Mass Customer,10
531.96,60,94,Mass Customer,10
90.1,60,94,Mass Customer,10
834.94,60,94,Mass Customer,10
64.51,28,53,Mass Customer,4
583.27,28,53,Mass Customer,4
448.68,28,53,Mass Customer,4
145.94,46,81,Mass Customer,1
227.26,46,81,Mass Customer,1
797.61,46,81,Mass Customer,1
75.14,46,81,Mass Customer,1
693.76,46,81,Mass Customer,1
91.15,46,81,Mass Customer,1
199.1,46,81,Mass Customer,1
1230.3,46,81,Mass Customer,1
547.28,46,81,Mass Customer,1
182.81,46,81,Mass Customer,1
41.13,43,73,Mass Customer,5
745.94,43,73,Mass Customer,5
110.56,43,73,Mass Customer,5
1295.43,43,73,Mass Customer,5
114.93,35,64,High Net Worth,9
25.02,35,64,High Net Worth,9
1028.76,35,64,High Net Worth,9
1592.19,35,64,High Net Worth,9
1592.19,23,32,Mass Customer,7
357.74,23,32,Mass Customer,7
90.1,56,57,High Net Worth,3
1295.43,56,57,High Net Worth,3
1806.79,56,57,High Net Worth,3
1134.8,56,57,High Net Worth,3
1230.3,56,57,High Net Worth,3
309.81,56,57,High Net Worth,3
709.34,57,5,Mass Customer,8
1055.82,57,5,Mass Customer,8
641.64,57,5,Mass Customer,8
133.38,57,5,Mass Customer,8
182.81,57,5,Mass Customer,8
57.73,57,5,Mass Customer,8
75.14,43,12,Mass Customer,1
110.56,43,12,Mass Customer,1
64.51,43,12,Mass Customer,1
512.33,43,12,Mass Customer,1
201.35,43,12,Mass Customer,1
182.81,23,34,Affluent Customer,11
1630.25,23,34,Affluent Customer,11
35.13,23,34,Affluent Customer,11
25.02,23,34,Affluent Customer,11
217.51,23,34,Affluent Customer,11
872.89,23,34,Affluent Customer,11
1295.43,45,18,Mass Customer,6
1344.33,45,18,Mass Customer,6
1531.93,45,18,Mass Customer,6
57.73,45,18,Mass Customer,6
114.93,45,18,Mass Customer,6
72.6,45,18,Mass Customer,6
512.33,45,18,Mass Customer,6
198.22,47,46,High Net Worth,3
41.13,47,46,High Net Worth,3
91.15,47,46,High Net Worth,3
872.89,47,46,High Net Worth,3
448.68,47,46,High Net Worth,3
1544.61,47,46,High Net Worth,3
217.51,47,46,High Net Worth,3
129.01,47,46,High Net Worth,3
135.85,33,27,High Net Worth,10
830.24,33,27,High Net Worth,10
64.51,33,27,High Net Worth,10
15.08,33,27,High Net Worth,10
450.77,33,27,High Net Worth,10
693.76,35,5,Affluent Customer,9
1305.25,35,5,Affluent Customer,9
25.02,35,5,Affluent Customer,9
64.51,35,5,Affluent Customer,9
35.13,35,5,Affluent Customer,9
167.21,35,5,Affluent Customer,9
1103.43,35,5,Affluent Customer,9
691.01,56,1,Affluent Customer,1
1702.55,56,1,Affluent Customer,1
139.23,56,1,Affluent Customer,1
64.93,56,1,Affluent Customer,1
737.57,56,1,Affluent Customer,1
691.01,56,1,Affluent Customer,1
227.26,56,1,Affluent Customer,1
531.96,56,1,Affluent Customer,1
908.77,56,1,Affluent Customer,1
745.94,26,9,Mass Customer,9
802.26,26,9,Mass Customer,9
217.51,26,9,Mass Customer,9
797.61,26,9,Mass Customer,9
91.15,26,9,Mass Customer,9
152.55,26,9,Mass Customer,9
583.27,66,67,High Net Worth,11
1103.43,66,67,High Net Worth,11
451.65,66,67,High Net Worth,11
509.97,53,57,Affluent Customer,9
195.34,53,57,Affluent Customer,9
45.96,53,57,Affluent Customer,9
64.93,53,57,Affluent Customer,9
217.51,53,57,Affluent Customer,9
